work,com,money,area,quest1,quest2,work_type
['数据分析师'],['北京瑞友科技股份有限公司'],['1.3万-1.8万'],['北京-海淀'],['1-3年'],['本科'],"['Power BI', 'SQL']"
['数据分析师'],['悦优博迈'],['1万-2万'],['北京'],['不限'],['本科'],['Python']
['数据分析师'],['北京视野智慧数字科技有限公司'],['2万-2.5万'],['北京-海淀'],['3-5年'],['硕士'],"['Python', 'SQL']"
['数据分析师'],['麦克利兰(北京)信息技术有限公司'],['6千-8千'],['北京-东城'],['不限'],['本科'],"['数据分析', 'SPSS', 'SQL']"
['数据分析师'],['伟仕互动(北京)商务信息有限公司'],['2万-4万'],['北京-东城'],['不限'],['本科'],['Python']
['数据分析师'],['北京瑞友科技股份有限公司'],['1.4万-1.8万'],['北京-海淀'],['1-3年'],['本科'],"['SQL', 'Power BI']"
['数据分析师'],['好丽友'],['面议'],['北京-朝阳'],['1-3年'],['大专'],"['运营数据分析', '销售数据分析']"
['数据分析师'],['北京三象国际咨询有限公司'],['3万-4万'],['北京-朝阳'],['3-5年'],['硕士'],['商业数据分析']
['数据分析师'],['北京特美文化有限公司'],['8千-1万'],['北京-东城'],['1-3年'],['本科'],"['数据分析', 'Python', 'SQL']"
['数据分析师'],['北京智能车联产业创新中心有限公司'],['2万-3万'],['北京-大兴'],['3-5年'],['硕士'],"['定性研究', '定量研究']"
['数据分析师'],['北京数字一百市场咨询有限公司'],['7千-1.4万'],['北京-朝阳'],['1-3年'],['本科'],"['SPSS', 'Power BI', 'Tableau', 'Stata']"
['数据分析师'],['智联招聘'],['1.5万-3万'],['北京'],['3-5年'],['本科'],"['MySQL', 'R语言', '数据建模', '商业分析', '大数据分析', '数据仓库', '数据集市', '数据挖掘']"
['数据分析师'],['北京视野智慧数字科技有限公司'],['1.5万-2.4万'],['北京-丰台'],['3-5年'],['硕士'],"['SQL', 'Python', 'R语言']"
['数据分析师'],['明灏科技(北京)有限公司'],['1万-2万'],['北京-东城'],['1-3年'],['本科'],"['Python', 'SQL', 'SPSS', '商业数据分析', '运营数据分析', '财务数据分析', '金融数据分析', '关联分析']"
['数据分析师'],['奇安信'],['2万-4万'],['北京-西城'],['3-5年'],['本科'],['数学建模']
['数据分析师'],['北京玲珑塔科技有限公司'],['1.3万-1.7万'],['北京-海淀'],['3-5年'],['本科'],"['SQL', 'Python', '教育', 'BI', '数仓', '运营数据分析']"
['数据分析'],['展动力'],['3.5万-6.5万'],['北京'],['5-10年'],['本科'],['Python']
['数据分析师'],['北京首建同创投资管理有限公司'],['1.5万-2万'],['北京-朝阳'],['1-3年'],['大专'],"['数据分析师', '数据整理']"
['数据分析师'],['北京信赢荣智企业管理咨询有限公司'],['3.5万-4万'],['北京-朝阳'],['3-5年'],['本科'],"['数据分析', 'C端', '用户增长', '数据库', '电商', 'SQL', 'Python', 'R']"
['数据分析师'],['广州欢网科技有限责任公司北京分公司'],['1万-1.4万'],['北京-朝阳'],['1-3年'],['大专'],"['数据分析', 'MySQL', 'Python']"
['数据分析师'],['大公国际资信评估有限公司'],['1.3万-2.6万'],['北京'],['3-5年'],['硕士'],"['MATLAB', 'Python', 'SQL', '机器学习', '深度学习', '回归算法', '金融数据分析']"
['数据分析师'],['迎得未来(北京)科技有限公司'],['1.5万-2万'],['北京-朝阳'],['3-5年'],['本科'],"['Python', '机器学习', '深度学习', 'Hadoop', 'Tableau']"
['数据分析师'],['首信云技术有限公司'],['1.5万-2.5万'],['北京-丰台'],['1-3年'],['本科'],"['舆情分析', '商业数据分析', 'SQL', 'Scala', 'MATLAB', '金融数据分析', '运营数据分析', 'Stata']"
['IT System Analyst'],['通用半导体（中国）有限公司'],['8千-1.2万'],['天津-滨海新区'],['3-5年'],['本科'],"['SQL', 'ERP']"
['数据分析师'],['联想教育科技(北京)有限公司'],['1万-1.4万'],['天津-东丽'],['不限'],['本科'],"['SQL', 'Python']"
['数据分析师'],['天津清溪智能科技有限责任公司'],['1.1万-1.8万'],['天津-南开'],['1-3年'],['本科'],"['Java', 'Python', 'Shell', 'SQL', 'Excel']"
['金融大数据分析师'],['北京蓝飞信息科技有限公司'],['8千-1.2万'],['天津-滨海新区'],['不限'],['本科'],"['数据分析', '大数据分析']"
['总公司高级数据分析师/数据分析师（数据建模方向）'],['恒安标准人寿保险有限公司'],['1万-2万'],['天津'],['1-3年'],['硕士'],"['数据建模', '数据挖掘', '商业分析', 'Python', 'SQL']"
['数据分析师'],['天津卓漫科技有限公司'],['6千-1.2万'],['天津-西青'],['不限'],['本科'],['数据分析']
['大数据分析师'],['北京蓝飞信息科技有限公司'],['6千-8千'],['天津-北辰'],['不限'],['本科'],"['数据统计分析', '统计员', 'R']"
['数据分析'],['中国联合网络通信集团有限公司'],['面议'],['天津'],['不限'],['本科'],['运营数据分析']
['数据分析师'],['北京安德信业信息咨询有限责任公司'],['3万-5万'],['天津-河东'],['不限'],['学历不限'],"['R语言', 'SAS', '决策树']"
['数据分析师'],['天津港保税区伊润国际贸易有限公司'],['6千-1万'],['天津-河西'],['不限'],['本科'],"['Python', 'Tableau', 'SQL']"
['数据分析师'],['贝壳找房科技有限公司'],['1万-1.3万'],['天津-红桥'],['3-5年'],['本科'],['SQL']
['数据分析师'],['海量信息'],['5千-8千'],['天津-和平'],['1-3年'],['硕士'],"['Python', 'Power BI', 'SQL', '行业分析', '舆情分析', '广告分析', '销售数据分析']"
